Symbol	Description
DSTW	Sunny 5xshortsg231214
DSWW	Meituan 5xlongsg240327
DSXW	Baidu 5xshortsg231220
DTDW	Cmb 5xlongsg231019
DTGW	Sia 5xlongsg230713
DTHW	Byd 5xshortsg231214
DTIW	Hsbc 5xshortsg241213
DTMW	Cmob 5xlongsg250213
DTSW	Dlc Sg5xshorttencent B
DU4	Mermaid Maritime Public Co Ltd
DUGW	Hsi 18200mbepw230530
DUHW	Cmob 5xshortsg250213
DUKW	Kepcorp 5xshortsg241218
DUMW	Kepcorp 5xlongsg250410
DUNW	Jd 5xlongsg240416
DUUW	Citydev Mb Ecw230724
DUXW	Aia 5xshortsg240125
DVAW	Clife 5xlongsg240215
DVBW	Lining 5xshortsg231019
DVCW	Dlc Sg5xshortventure B
DVFW	Genting 5xshortsg241218
DVHW	Bydelec 5xlongsg231220
DVIW	Alibaba 5xlongsg231214
DVKW	Petroch 5xlongsg250410
DVLW	Tencent 5xlongsg240416
DVRW	Alibaba 5xshortsg231220
DVZW	Singtel 5xshortsg241218
DWCW	Ccb 5xlongsg240807
DWEW	Clife 5xshortsg240215
DWFW	Citydev 5xshortsg241218
DWGW	Aia 5xlongsg241213
DWIW	Sembcorp 5xlongsg250410
DWTW	Dlc Sg5xshortaac B
DXBW	Dlc Sg5xshort Xiaomi A
DXGW	Anta 5xshortsg231019
DXIW	Citydev 5xshortsg231214
DXJW	Jd Mb Ecw231204
DXLW	Dlc Sg5xlong Xiaomi
DXOW	Capinv 5xshortsg241218
DXQW	Alibaba 5xshortsg240411
DXSW	Dlc Sg5xshort Xiaomi
DXZW	Dlc Sg5xlong Alihealth
DYEW	Citydev 5xlongsg241218
DYFW	Ganfeng 5xlongsg240411
DYGW	Meituan 5xshortsg240411
DYXW	Tencent 5xshortsg231123
DYYW	Hkex 5xlongsg240125
DZDW	Anta 5xlongsg231019
DZMW	Alibaba 5xshortsg231110
DZNW	Meituan 5xshortsg231110
DZOW	Meituan 5xlongsg231110
DZSW	Petroch 5xshortsg250410
DZYW	Ccb 5xshortsg231214
DZZW	Kuaisho 5xshortsg231123
E27	Eucon Holding Limited
E28	Frencken Group Limited
E3B	Wee Hur Holdings Ltd.
E5H	Golden Agri-resources Ltd
E6R	Samko Timber Limited
E9L	Joyas International Hldgs Ltd
EAFW	Pingan Mb Epw231004
EAPS	Nx22100w 320801
EAVW	Tencentmbecw231004
EB5	First Resources Limited
EB7	Ktl Global Limited
EBEW	Hscei 7xlongub250430
ECAW	Meituan 5xlongub251031
EG0	Jes International Holdings Ltd
EH5	United Overseas Australia Ltd
EHFW	Hsi 19800mbecw230830
EHG	Econ Healthcare
EHUW	Jd 5xlongub250228
EHZB	Fptrea 4.49%270916xb#
ELTW	Thaibev 5xshortsg231115
EMI	Emperador Inc.
ENJW	Hsi 15800mbepw230830
ENV	Ls 2 Holdings
EPVW	Byd 5xlongub250930
ER0	Ksh Holdings Limited
ES3	Sti Etf
ESG	Lgi-ospl Slc Etf S$
ESU	Lgi-ospl Slc Etf Us$
EVD	Nikkoam-stc Cn Ev Us$
EVS	Nikkoam-stc Cn Ev S$
EYFW	Hstech 4800mbecw240627
F03	Food Empire Holdings Limited
F10	F J Benjamin Holdings Ltd
F13	Fu Yu Corporation Ltd
F17	Guocoland Limited
F1E	Low Keng Huat (singapore) Ltd
F34	Wilmar International Limited
F83	Cosco Corporation (s) Ltd
F86	Cougar Logistics Corpn Ltd
F99	Fraser And Neave Limited
F9D	Boustead Singapore Limited
FBXW	Meituan 5xshortub250430
FDWW	Hkex 5xlongub250228
FGIW	Hsbc 5xlongub250127
FIAW	China Real Estate W230726
FIMW	Kuaisho 5xlongub251031
FMVW	Hsi 19000mbepw230530
FOFW	Byd 5xlongub250321
FQ7	Jasper Investments Limited
FRLW	Alibaba 5xshortub250127
FRQ	Sing Paincare
FUSW	Sands Mb Ecw231004
FUUW	Xiaomi Mbepw231004
FWQW	Meituan 5xshortub251031
